age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
56,admin.,single,unknown,no,3192,no,no,cellular,19,jun,25,6,-1,0,unknown,no
69,unemployed,divorced,secondary,no,-2520,yes,no,cellular,31,mar,83,3,-1,0,unknown,no
46,technician,divorced,secondary,no,1401,yes,no,telephone,24,jun,275,5,-1,0,unknown,no
32,unknown,divorced,primary,no,485,no,no,cellular,26,oct,97,1,-1,0,unknown,no
60,student,single,primary,no,3414,yes,yes,cellular,2,jul,109,6,-1,0,unknown,no
25,blue-collar,single,secondary,no,2109,yes,no,telephone,26,feb,575,7,-1,0,unknown,yes
38,student,single,unknown,no,5470,no,no,unknown,28,mar,223,5,-1,0,unknown,no
56,technician,married,unknown,no,-388,yes,no,telephone,8,jun,28,5,-1,0,unknown,no
36,technician,single,secondary,no,3556,yes,no,cellular,7,oct,96,6,-1,0,unknown,no
40,unknown,married,tertiary,no,1911,yes,no,telephone,28,sep,20,7,-1,0,unknown,no
28,entrepreneur,married,tertiary,no,-3497,no,no,telephone,5,sep,209,4,-1,0,unknown,no
28,student,single,unknown,no,-1341,yes,no,cellular,4,aug,49,7,-1,0,unknown,no
41,technician,single,primary,no,972,no,no,unknown,11,aug,501,5,-1,0,unknown,yes
70,unemployed,single,tertiary,no,4769,yes,no,telephone,26,sep,222,7,-1,0,unknown,no
53,services,married,tertiary,no,2818,yes,no,unknown,28,nov,15,1,-1,0,unknown,no
57,entrepreneur,divorced,primary,no,-2090,yes,no,telephone,30,nov,92,2,94,1,failure,no
41,unemployed,single,tertiary,no,1000,yes,no,cellular,10,sep,247,2,-1,0,unknown,no
20,entrepreneur,single,secondary,no,7494,no,yes,cellular,1,oct,105,7,-1,0,unknown,no
39,unemployed,single,tertiary,no,1757,yes,yes,telephone,29,nov,185,9,111,1,success,no
70,self-employed,married,primary,no,438,no,yes,telephone,4,sep,619,7,263,2,other,yes
19,blue-collar,married,secondary,no,2902,yes,no,telephone,22,may,111,6,-1,0,unknown,no
41,unemployed,divorced,tertiary,no,3720,yes,no,cellular,31,jun,105,3,-1,0,unknown,no
61,retired,single,unknown,no,50,yes,no,telephone,6,may,442,5,-1,0,unknown,yes
47,unemployed,married,secondary,no,2935,no,no,cellular,18,jan,99,2,-1,0,unknown,no
55,admin.,divorced,secondary,no,433,no,no,telephone,25,apr,20,9,-1,0,unknown,no
19,admin.,single,unknown,no,3587,no,no,cellular,13,nov,51,6,-1,0,unknown,no
38,housemaid,married,unknown,no,1933,yes,no,telephone,13,jan,766,9,-1,0,unknown,yes
50,retired,single,tertiary,no,2873,no,no,unknown,1,dec,698,9,46,4,other,yes
29,retired,single,tertiary,no,-861,yes,no,unknown,4,jan,65,7,-1,0,unknown,no
39,services,married,primary,no,-1048,no,no,cellular,4,mar,208,5,38,4,other,no
61,retired,married,primary,no,4268,no,no,telephone,18,jul,38,4,95,1,other,no
42,services,married,secondary,no,1184,yes,yes,unknown,24,jan,289,1,-1,0,unknown,no
